episode,train_reward,train_duration,eval_reward,eval_duration
0,9089.427734375,12,111.01679992675781,11
1,9115.755859375,15,437.88726806640625,46
2,9146.2880859375,19,287.1264953613281,30
3,9176.416015625,23,437.5335693359375,46
4,9202.9716796875,18,362.41339111328125,38
5,9223.037109375,29,1014.4596557617188,108
6,9227.0439453125,32,3284.909912109375,351
7,9250.458984375,32,923.8671875,98
8,9255.0107421875,46,9346.169921875,999
9,9265.2529296875,43,7394.048828125,791
10,9256.44921875,59,361.953125,38
11,9278.0908203125,57,9342.06640625,999
12,9268.4814453125,62,9327.1318359375,999
13,9263.892578125,48,9327.3798828125,999
14,9263.5947265625,39,9325.8876953125,999
15,9256.970703125,43,278.44903564453125,29
16,9273.5263671875,60,1405.2322998046875,150
17,9272.646484375,51,8957.865234375,962
18,9282.3046875,70,369.68505859375,39
19,9273.375,54,9320.943359375,999
20,9282.8203125,63,9328.5712890625,999
21,9297.7802734375,161,9329.509765625,999
22,9277.87109375,63,9355.97265625,999
23,9294.953125,74,2912.1552734375,311
24,9304.447265625,92,9327.7216796875,999
25,9281.0419921875,86,9333.048828125,999
26,9278.130859375,67,772.7344360351562,82
27,9292.4443359375,88,9328.22265625,999
28,9277.587890625,73,9331.509765625,999
29,9281.5302734375,72,9340.109375,999
30,9285.158203125,73,9359.2197265625,999
31,9283.6611328125,64,9359.560546875,999
32,9295.7353515625,88,9359.89453125,999
33,9279.169921875,73,9358.720703125,999
34,9286.94140625,97,9359.9287109375,999
35,9298.736328125,80,9359.861328125,999
36,9297.33203125,91,437.8365173339844,46
37,9298.7109375,87,353.1947021484375,37
38,9295.2412109375,113,690.5939331054688,73
39,9302.884765625,119,9358.9267578125,999
40,9301.251953125,93,9358.4609375,999
41,9286.23828125,69,9359.95703125,999
42,9306.6025390625,111,9359.958984375,999
43,9293.2509765625,102,9359.9921875,999
44,9300.83203125,108,9359.888671875,999
45,9294.693359375,82,9359.943359375,999
46,9296.48046875,86,9359.896484375,999
47,9302.5693359375,90,9359.880859375,999
48,9298.28515625,106,9359.595703125,999
49,9299.107421875,79,9359.4931640625,999
50,9294.32421875,76,,
51,9295.5859375,71,,
52,9298.76953125,73,,
53,9297.2119140625,86,,
54,9303.5517578125,88,,
55,9296.3681640625,83,,
56,9300.521484375,137,,
57,9294.35546875,105,,
58,9306.873046875,211,,
59,9308.4892578125,260,,
60,9322.412109375,257,,
61,9320.703125,258,,
62,9315.642578125,221,,
63,9320.2685546875,307,,
64,9320.48828125,312,,
65,9324.6943359375,381,,
66,9321.6748046875,350,,
67,9293.4794921875,109,,
68,9294.0068359375,64,,
69,9301.4375,91,,
70,9321.001953125,230,,
71,9321.96875,254,,
72,9330.89453125,295,,
73,9328.1396484375,272,,
74,9308.556640625,259,,
75,9314.52734375,290,,
76,9309.89453125,220,,
77,9306.990234375,172,,
78,9303.3212890625,112,,
79,9311.3828125,203,,
80,9324.80078125,284,,
81,9332.6826171875,501,,
82,9312.376953125,582,,
83,9322.033203125,318,,
84,9321.6923828125,375,,
85,9334.12890625,467,,
86,9305.4541015625,206,,
87,9308.041015625,217,,
88,9308.3359375,299,,
89,9307.369140625,218,,
90,9318.607421875,264,,
91,9327.572265625,350,,
92,9328.3974609375,375,,
93,9306.9921875,218,,
94,9297.4384765625,147,,
95,9284.3486328125,188,,
96,9278.712890625,88,,
97,9302.111328125,127,,
98,9323.9033203125,339,,
99,9321.6015625,305,,
100,9236.140625,59,,
101,9251.642578125,64,,
102,9256.3369140625,77,,
103,9283.9267578125,83,,
104,9295.23828125,166,,
105,9306.8173828125,360,,
106,9306.470703125,209,,
107,9302.0537109375,246,,
108,9297.91796875,249,,
109,9307.80078125,379,,
110,9312.69921875,371,,
111,9323.16796875,388,,
112,9330.9248046875,986,,
113,9332.8046875,730,,
114,9335.70703125,778,,
115,9248.564453125,822,,
116,9273.201171875,122,,
117,9263.576171875,106,,
118,9278.9755859375,191,,
119,9283.234375,137,,
120,9297.4921875,266,,
121,9305.4453125,252,,
122,9318.6962890625,631,,
123,9292.5556640625,432,,
124,9318.7607421875,700,,
125,9280.9833984375,204,,
126,9276.185546875,154,,
127,9303.4638671875,537,,
128,9293.521484375,563,,
129,9313.431640625,355,,
130,9316.6064453125,496,,
131,9320.2197265625,800,,
132,9298.6259765625,842,,
133,9285.7421875,197,,
134,9320.1240234375,718,,
135,9283.74609375,532,,
136,9297.7734375,311,,
137,9305.0986328125,555,,
138,9301.0927734375,292,,
139,9319.65234375,519,,
140,9307.8671875,634,,
141,9318.189453125,593,,
142,9325.5791015625,737,,
143,9307.5888671875,540,,
144,9322.322265625,703,,
145,9290.484375,367,,
146,9301.01953125,303,,
147,9315.1650390625,737,,
148,9322.865234375,576,,
149,9326.603515625,999,,
150,9234.57421875,56,,
151,9235.126953125,42,,
152,9229.939453125,35,,
153,9243.5947265625,60,,
154,9243.13671875,62,,
155,9245.6083984375,56,,
156,9245.2822265625,84,,
157,9262.6650390625,74,,
158,9255.208984375,70,,
159,9257.88671875,63,,
160,9259.99609375,88,,
161,9265.91796875,81,,
162,9268.025390625,132,,
163,9290.193359375,228,,
164,9275.6142578125,139,,
165,9290.837890625,177,,
166,9294.09375,172,,
167,9305.0244140625,453,,
168,9299.662109375,209,,
169,9305.3056640625,363,,
